code,description
105066-5,SARS-CoV+SARS-CoV-2 Ag Spec Ql
10507-2,Prolactin Ag Tiss Ql ImStn
105072-3,ETEC ltA+st1a+st1b Stl Ql
105075-6,FLUAV RNA Spec Ql
105076-4,FLUAV H1 RNA Spec Ql
105080-6,HIV 1+2 Ab+HIV1 p24 Ag SerPl Ql
105081-4,Rheumatoid fact Spec-aCnc
105112-7,Eosinophil NFr UrnS
105121-8,Testost SerPl LC/MS/MS-mCnc
105197-8,HNPCC multi Bld/T
105198-6,Marfan & related cond multi anly Bld/T
105199-4,Noonan syn & rel cond multi anly Bld/T
105200-0,Chloride Sweat Ql Scn
105214-1,FLUAV+FLUBV RNA Bronch Ql NAA+probe
105215-8,FLUAV RNA Bronch Ql NAA+probe
105216-6,FLUBV RNA Bronch Ql NAA+probe
10523-9,Fibrinogen Ag Tiss Ql ImStn
105232-3,FLUAV+FLUBV RNA Spt Ql NAA+probe
105233-1,FLUAV RNA Spt Ql NAA+probe
105234-9,FLUBV RNA Spt Ql NAA+probe
105260-4,Cystinuria multi anl Bld/T
105261-2,GSD multi anl Bld/T
105263-8,LSD multi anl Bld/T
105265-3,Pheny dis multi anl Bld/T
105269-5,Fracti excret of Ca ?Tm Ur+SerPl-Rto
105272-9,Glucose Interstitial fld-sCnc
105273-7,Gluc RptPeriod Mean Intrstl fld calc
105274-5,Hgb BldV Calc-mCnc
105285-1,Neutrophil Ab screen panel
105286-9,Neutrophil membrane Ab SerPl Ql FC
105287-7,Neutrophil membrane Ab SerPl Ql Aggl
105288-5,Neutrophil membrane Ab SerPl-Imp
105300-8,Hgb BldMV-sCnc
105303-2,TC+Mcrphg+Lymphcyt PDL1/TC tiss
105329-7,Heredit angio ed multi analy Bld
10533-8,Propoxyph+APAP SerPl-mCnc
105331-3,Hered bleed fact & Vw multi analy Spec
105332-1,MYH9 gene Full Mut Anl Bld
105335-4,Hered plat pool def multi analy Bld
105343-8,Acute myeloid leuk multi anl Bld/T
105349-5,NCL multi anl Bld/T
10535-3,Digoxin SerPl-mCnc
105351-1,Heredit erythro multi anl Bld/T
105437-8,S pneum DNA Nph Ql NAA+probe
10548-6,Phenytoin Free MFr SerPl
105494-9,Chance prostate cancer
1055-3,Deprecated I (Int) Subtyp RBC BPU Ql
105507-8,Have high bld chol
105508-6,Med high bld chol
105515-1,Total chole from lipid profile
105516-9,LDL from lipid profile
105517-7,HDL from lipid profile
105518-5,Triglycerides from lipid profile
10558-5,Albumin Smn-sCnc
105585-4,DICER1 gene Full Mut Anl Tiss
105586-2,H3C14 gene Mut Anl Tiss
105588-8,Adult type diff gli gene Mut Anl Tiss
105589-6,Bladder & Prostate CA mltgn anlyss Tiss
10559-3,Deprecated Calcium-sCnc
105592-0,Gyne carcinoma multi anl Tiss
105593-8,RCC multigene analysis Tiss
105595-3,MYOD1 targ gene mut anlyss Tiss
105598-7,SDHA & SDHB & SDHC & SDHD mut anl Tiss
1056-1,Deprecated I (Int) Subtyp RBC Donr Ql
105606-8,Bacteria Cath Tip Anaerobe Cult org #2
105620-9,Camp & Sal & Shig sp Stl Cult org #2
105621-7,Camp & Sal & Shig sp Stl Cult org #3
105622-5,Aeromonas Stl Ql Cult
105677-9,Streptococcus DNA Spec Ql NAA+probe
105678-7,S dysgalactiae DNA Spec Ql NAA+probe
105679-5,S. equinus DNA Spec Ql NAA+probe
105680-3,S. gordonii DNA Spec Ql NAA+probe
105681-1,S. mitis DNA Spec Ql NAA+probe
105682-9,S. salivarius DNA Spec Ql NAA+probe
1057-9,Deprecated I (Int) Subtyp RBC Patient Ql
105725-6,FLUAV+FLUBV RNA BAL Ql NAA+probe
105748-8,SARS-CoV-2 RNA Tracheal asp Ql NAA+probe
105749-6,SARS-CoV-2 RNA BAL Ql NAA+probe
105764-5,Enterobacter spp DNA Ct Bld +Qn NAA+prb
105765-2,E coli DNA Ct Bld Pos Qn NAA+probe
105766-0,Klebsiella spp DNA Ct Bld +Qn NAA+prb
105767-8,Proteus sp DNA Ct Bld Pos Qn NAA+probe
105768-6,Salmonella spp DNA Ct Bld +Qn NAA+prb
105769-4,Serratia spp DNA Ct Bld Pos Qn NAA+probe
105770-2,P aerugns DNA Ct Bld Pos Qn NAA+probe
105771-0,N men DNA Ct Bld Pos Qn NAA+probe
105772-8,Haem influ DNA Ct Bld Pos Qn NAA+probe
105773-6,ACB cplx DNA Ct Bld Pos Qn NAA+probe
105774-4,B fragilis DNA Ct Bld Pos Qn NAA+probe
105775-1,S maltophilia DNA Ct Bld +Qn NAA+prb
105776-9,Enterobacterales DNA Ct Bld +Qn NAA+prb
105777-7,AAC(6')-Ib gene Ct Bld Pos Qn NAA+probe
105778-5,Bac b-lactam res AmpC Ct Bld + NAA prb
105779-3,Bac amnglycsde res ArmA Ct Bld + NAA prb
105780-1,blaCTX-M Ct Bld Pos Qn NAA+probe
105781-9,blaGES gene Ct Bld Pos Qn NAA+probe
105782-7,Bact B lct bl ps Q N+Pr
105783-5,Bac b-lactam res KPC Ct Bld + NAA prb
105784-3,Bac b-lactam res NDM Ct Bld +NAA prb
105785-0,blaOXA-23 Ct Bld Pos Qn NAA+probe
105786-8,blaOXA-24+blaOXA-40 Ct Bld +Qn NAA+prb
105787-6,blaOXA-48-like Ct Bld Pos Qn NAA+probe
105788-4,Carbpnm res blaOXA58 Ct Bld +Qn NAA prb
105789-2,P aerug regA Ct Bld Pos Qn NAA+probe
105790-0,ESBL blaSHV gene Ct Bld Pos Qn NAA+probe
105791-8,Carbpnm resist SPM Ct Bld +Qn NAA prb
105792-6,Bac b-ltm resist TEM Ct + NAA prb
105793-4,Bac b-lactam resist VEB Ct
105794-2,blaVIM Ct Bld Pos Qn NAA+probe
105795-9,Microcccs spp DNA Ct Bld +Qn NAA+prb
105796-7,S aureus DNA Ct Bld Pos Qn NAA+probe
105797-5,S epidermidis DNA Ct Bld +Qn NAA+prob
105798-3,S lugdunensis DNA Ct Bld +Qn NAA+prob
105799-1,S. capitis+S. hominis DNA Ct Bld +Qn
105800-7,Gp B Strep DNA Ct Bld Pos Qn NAA+probe
105801-5,S.anginosus grp DNA Ct Bld + Qn NAA+pr
105802-3,S pneum DNA Ct Bld Pos Qn NAA+probe
105803-1,S pyo DNA Ct Bld Pos Qn NAA+probe
105804-9,C gattii+neofor DNA Ct Bld + Qn NAA+pr
105805-6,Fusarium DNA Ct Bld Pos Qn NAA+probe
105806-4,C auris DNA Ct Bld Pos Qn NAA+probe
105807-2,Aac(6') aph(2') Ct Bld +Qn NAA+prb
105808-0,Bac antimicro res CFR Ct Bld +
105809-8,Bac antimicro res CFR Ct Bld +
105810-6,Bac macrolide res ErmA Ct Bld +
105811-4,Bac macrolide res ErmC Ct Bld +
105812-2,Bac macrolide res mecA Ct Bld +
105813-0,MRB mecC Ct Bld Pos Qn NAA+probe
105814-8,tetK Ct Bld Pos Qn NAA+probe
105815-5,tetM Ct Bld Pos Qn NAA+probe
105816-3,vanA Ct Bld Pos Qn NAA+probe
105817-1,vanB Ct Bld Pos Qn NAA+probe
105845-2,QC spec used at begin
