code,generic_name,brand_name,dosage_form
0220-4662,SEPIA OFFICINALIS JUICE,Sepia,PELLET
0220-4664,SILICON DIOXIDE,Silicea,PELLET
0220-4667,SILICON DIOXIDE,Silicea,PELLET
0220-4668,SILICON DIOXIDE,Silicea,PELLET
0220-4669,SILICON DIOXIDE,Silicea,PELLET
0220-4670,SILICON DIOXIDE,Silicea,PELLET
0220-4671,SILICON DIOXIDE,Silicea,PELLET
0220-4672,SILICON DIOXIDE,Silicea,PELLET
0220-4675,SILICON DIOXIDE,Silicea,PELLET
0220-4678,BLACK MUSTARD SEED,Sinapis nigra,PELLET
0220-4679,SILICON DIOXIDE,Silicea,PELLET
0220-4680,SILICON DIOXIDE,Silicea,PELLET
0220-4683,SILICON DIOXIDE,Silicea,PELLET
0220-4684,SILICON DIOXIDE,Silicea,PELLET
0220-4687,BLACK MUSTARD SEED,SINAPIS NIGRA,PELLET
0220-4702,SOLIDAGO VIRGAUREA FLOWERING TOP,Solidago virgaurea,PELLET
0220-4703,SOLIDAGO VIRGAUREA FLOWERING TOP,SOLIDAGO VIRGAUREA,PELLET
0220-4704,SOLIDAGO VIRGAUREA FLOWERING TOP,SOLIDAGO VIRGAUREA,PELLET
0220-4707,SPIGELIA ANTHELMIA,Spigelia anthelmia,PELLET
0220-4710,SPIGELIA ANTHELMIA,Spigelia anthelmia,PELLET
0220-4711,SPIGELIA ANTHELMIA,Spigelia anthelmia,PELLET
0220-4712,SPIGELIA ANTHELMIA,Spigelia anthelmia,PELLET
0220-4726,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4737,TIN,Stannum metallicum,PELLET
0220-4739,TIN,Stannum metallicum,PELLET
0220-4743,DELPHINIUM STAPHISAGRIA SEED,Staphysagria,PELLET
0220-4744,LOBARIA PULMONARIA,Sticta pulmonaria,PELLET
0220-4745,LOBARIA PULMONARIA,Sticta pulmonaria,PELLET
0220-4748,LOBARIA PULMONARIA,Sticta pulmonaria,PELLET
0220-4749,LOBARIA PULMONARIA,Sticta pulmonaria,PELLET
0220-4752,DATURA STRAMONIUM,Stramonium,PELLET
0220-4753,DATURA STRAMONIUM,Stramonium,PELLET
0220-4756,LOBARIA PULMONARIA,Sticta pulmonaria,PELLET
0220-4759,LOBARIA PULMONARIA,Sticta pulmonaria,PELLET
0220-4760,DATURA STRAMONIUM,Stramonium,PELLET
0220-4761,DATURA STRAMONIUM,Stramonium,PELLET
0220-4768,DATURA STRAMONIUM,Stramonium,PELLET
0220-4771,DATURA STRAMONIUM,Stramonium,PELLET
0220-4772,DATURA STRAMONIUM,Stramonium,PELLET
0220-4773,DATURA STRAMONIUM,Stramonium,PELLET
0220-4779,STRONTIUM CARBONATE,Strontium carbonicum,PELLET
0220-4781,STRONTIUM CARBONATE,Strontium carbonicum,PELLET
0220-4783,STROPHANTHUS HISPIDUS SEED,Strophanthus hispidus,PELLET
0220-4813,SULFUR,Sulphur,PELLET
0220-4816,SULFUR,Sulphur,PELLET
0220-4817,SULFUR,Sulphur,PELLET
0220-4820,SULFUR,Sulphur,PELLET
0220-4821,SULFUR,Sulphur,PELLET
0220-4823,SULFUR,Sulphur,PELLET
0220-4826,SULFUR,Sulphur,PELLET
0220-4827,SULFUR,Sulphur,PELLET
0220-4828,SULFUR,Sulphur,PELLET
0220-4829,SULFUR,Sulphur,PELLET
0220-4830,SULFUR,Sulphur,PELLET
0220-4831,SULFUR,Sulphur,PELLET
0220-4834,SULFUR IODIDE,Sulphur iodatum,PELLET
0220-4835,SULFUR IODIDE,Sulphur iodatum,PELLET
0220-4837,SULFUR IODIDE,Sulphur iodatum,PELLET
0220-4839,SULFUR IODIDE,SULPHUR IODATUM,PELLET
0220-4841,SULFURIC ACID,Sulphuricum acidum,PELLET
0220-4842,SULFUR IODIDE,Sulphur iodatum,PELLET
0220-4843,SULFUR IODIDE,Sulphur iodatum,PELLET
0220-4846,SULFURIC ACID,Sulphuricum acidum,PELLET
0220-4847,SULFURIC ACID,Sulphuricum acidum,PELLET
0220-4850,SYMPHORICARPOS ALBUS FRUIT,SYMPHORICARPUS RACEMOSUS,PELLET
0220-4853,SYMPHORICARPOS ALBUS FRUIT,Symphoricarpus racemosus,PELLET
0220-4854,SYMPHORICARPOS ALBUS FRUIT,Symphoricarpus racemosus,PELLET
0220-4857,COMFREY ROOT,Symphytum officinale,PELLET
0220-4860,SULFURIC ACID,Sulphuricum acidum,PELLET
0220-4861,SULFURIC ACID,Sulphuricum acidum,PELLET
0220-4865,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4866,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4867,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4868,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4869,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4870,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4871,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4872,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4873,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4874,"SPONGIA OFFICINALIS SKELETON, ROASTED",Spongia tosta,PELLET
0220-4877,DELPHINIUM STAPHISAGRIA SEED,Staphysagria,PELLET
0220-4878,DELPHINIUM STAPHISAGRIA SEED,Staphysagria,PELLET
0220-4879,DELPHINIUM STAPHISAGRIA SEED,Staphysagria,PELLET
